Mes,ME/USD,Moneda,Anho,G/ME
6,"10,3387",ZAR,2002,"561,00"
6,"1,3205",SDR,2002,"7.658,90"
6,"319,6500",XAU,2002,"1.853.970,00"
6,"1.330,0000",VEF,2002,"4,36"
6,"697,5000",CLP,2002,"8,32"
6,"0,9875",EUR,2002,"5.727,50"
6,"18,5620",UYU,2002,"312,47"
7,"1,0000",USD,2002,"6.000,00"
7,"2,2150",DEM,2002,"2.708,80"
7,"119,8700",JPY,2002,"50,05"
7,"1,5720",GBP,2002,"9.432,00"
7,"1,4751",CHF,2002,"4.067,52"
7,"7,4287",FRF,2002,"807,68"
7,"9,3700",SEK,2002,"640,34"
7,"2,4957",NLG,2002,"2.404,14"
7,"7,5252",DKK,2002,"797,32"
7,"188,4300",ESP,2002,"31,84"
7,"7,5284",NOK,2002,"796,98"
7,"15,5836",ATS,2002,"385,02"
7,"2.192,8300",ITL,2002,"2,74"
7,"45,6850",BEF,2002,"131,33"
7,"3,2640",BRL,2002,"1.838,24"
7,"3,6400",ARS,2002,"1.648,35"
7,"1,5720",CAD,2002,"3.816,79"
7,"10,1280",ZAR,2002,"592,42"
7,"1,3255",SDR,2002,"7.953,00"
7,"304,8500",XAU,2002,"1.829.100,00"
7,"1.335,0100",VEF,2002,"4,49"
7,"700,7000",CLP,2002,"8,56"
7,"0,9871",EUR,2002,"5.922,60"
7,"23,7500",UYU,2002,"252,63"
8,"1,0000",USD,2002,"6.200,00"
8,"2,2150",DEM,2002,"2.799,10"
8,"118,3100",JPY,2002,"52,40"
8,"1,5482",GBP,2002,"9.598,84"
8,"1,4933",CHF,2002,"4.151,88"
8,"7,4287",FRF,2002,"834,60"
8,"9,3237",SEK,2002,"664,97"
8,"2,4957",NLG,2002,"2.484,27"
8,"7,5513",DKK,2002,"821,05"
8,"188,4300",ESP,2002,"32,90"
8,"7,5116",NOK,2002,"825,39"
8,"15,5836",ATS,2002,"397,85"
8,"2.192,8300",ITL,2002,"2,83"
8,"45,6850",BEF,2002,"135,71"
8,"3,1170",BRL,2002,"1.989,09"
8,"3,6000",ARS,2002,"1.722,22"
8,"1,5592",CAD,2002,"3.976,40"
8,"10,6212",ZAR,2002,"583,74"
8,"1,3264",SDR,2002,"8.223,68"
8,"312,1000",XAU,2002,"1.935.020,00"
8,"1.410,0100",VEF,2002,"4,40"
8,"715,5000",CLP,2002,"8,67"
8,"0,9830",EUR,2002,"6.094,60"
8,"27,0000",UYU,2002,"229,63"
9,"1,0000",USD,2002,"6.000,00"
9,"2,2150",DEM,2002,"2.708,80"
9,"122,9600",JPY,2002,"48,80"
9,"1,5527",GBP,2002,"9.316,20"
9,"1,5030",CHF,2002,"3.992,02"
9,"7,4287",FRF,2002,"807,68"
9,"9,3115",SEK,2002,"644,36"
9,"2,4957",NLG,2002,"2.404,14"
9,"7,6060",DKK,2002,"788,85"
9,"188,4300",ESP,2002,"31,84"
9,"7,5066",NOK,2002,"799,30"
9,"15,5836",ATS,2002,"385,02"
9,"2.192,8300",ITL,2002,"2,74"
9,"45,6850",BEF,2002,"131,33"
9,"3,8490",BRL,2002,"1.558,85"
9,"3,6800",ARS,2002,"1.630,43"
9,"1,5768",CAD,2002,"3.805,18"
9,"10,5230",ZAR,2002,"570,18"
9,"1,3181",SDR,2002,"7.908,60"
9,"319,7500",XAU,2002,"1.918.500,00"
9,"1.470,0100",VEF,2002,"4,08"
9,"748,2000",CLP,2002,"8,02"
9,"0,9762",EUR,2002,"5.857,20"
9,"26,8000",UYU,2002,"223,88"
10,"1,0000",USD,2002,"6.450,00"
10,"2,2150",DEM,2002,"2.911,96"
10,"122,8100",JPY,2002,"52,52"
10,"1,5578",GBP,2002,"10.047,81"
10,"1,4890",CHF,2002,"4.331,77"
10,"7,4287",FRF,2002,"868,25"
